,title,original_title,overview,overview_word_count,release_date,release_year,original_language,genres,vote_average,vote_count,popularity
0,The Shawshank Redemption,The Shawshank Redemption,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",69,1994-09-23,1994,English,"['Drama', 'Crime']",8.711,29153,26.7193
1,The Godfather,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",48,1972-03-14,1972,English,"['Drama', 'Crime']",8.685,22020,31.8334
2,The Godfather Part Ii,The Godfather Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",39,1974-12-20,1974,English,"['Drama', 'Crime']",8.571,13307,11.9876
3,Schindler'S List,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,29,1993-12-15,1993,English,"['Drama', 'History', 'War']",8.566,16833,10.6784
4,12 Angry Men,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",58,1957-04-10,1957,English,['Drama'],8.548,9500,8.9634
5,Spirited Away,千と千尋の神隠し,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",35,2001-07-20,2001,Japanese,"['Animation', 'Family', 'Fantasy']",8.535,17605,16.6165
6,The Dark Knight,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",67,2008-07-16,2008,English,"['Drama', 'Action', 'Crime', 'Thriller']",8.524,34650,32.3335
7,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",70,1995-10-20,1995,Hindi,"['Comedy', 'Drama', 'Romance']",8.5,4518,8.3532
8,The Green Mile,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",47,1999-12-10,1999,English,"['Fantasy', 'Drama', 'Crime']",8.502,18510,13.2181
9,Parasite,기생충,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",24,2019-05-30,2019,Korean,"['Comedy', 'Thriller', 'Drama']",8.497,19665,16.2253
10,The Lord Of The Rings: The Return Of The King,The Lord of the Rings: The Return of the King,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",94,2003-12-17,2003,English,"['Adventure', 'Fantasy', 'Action']",8.5,25618,18.9286
11,Pulp Fiction,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",36,1994-09-10,1994,English,"['Thriller', 'Crime', 'Comedy']",8.487,29236,16.5964
12,Your Name.,君の名は。,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",45,2016-08-26,2016,Japanese,"['Animation', 'Romance', 'Drama']",8.479,12074,17.1964
13,Forrest Gump,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",42,1994-06-23,1994,English,"['Comedy', 'Drama', 'Romance']",8.463,28803,49.3319
14,Interstellar,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,33,2014-11-05,2014,English,"['Adventure', 'Drama', 'Science Fiction']",8.462,38175,37.897
15,"The Good, The Bad And The Ugly","Il buono, il brutto, il cattivo","While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",40,1966-12-22,1966,Italian,['Western'],8.5,9231,10.0951
16,Goodfellas,GoodFellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",35,1990-09-12,1990,English,"['Drama', 'Crime']",8.453,13748,11.5322
17,Seven Samurai,七人の侍,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",44,1954-04-26,1954,Japanese,"['Action', 'Drama']",8.451,4017,8.4319
18,Grave Of The Fireflies,火垂るの墓,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",57,1988-04-16,1988,Japanese,"['Animation', 'Drama', 'War']",8.447,6177,0.011
19,Life Is Beautiful,La vita è bella,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,61,1997-12-20,1997,Italian,"['Comedy', 'Drama']",8.44,13611,8.2543
20,Fight Club,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",45,1999-10-15,1999,English,"['Drama', 'Thriller']",8.438,30946,16.5831
21,Impossible Things,Cosas imposibles,"After the death of her abusive husband, Matilde finds her new best friend in Miguel, her young, insecure, and disoriented neighbor.",21,2021-06-17,2021,Spanish,"['Family', 'Drama']",8.435,415,2.6628
22,Harakiri,切腹,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",91,1962-09-15,1962,Japanese,"['Action', 'Drama', 'History']",8.4,1124,4.6476
23,Cinema Paradiso,Nuovo Cinema Paradiso,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",26,1988-11-17,1988,Italian,"['Drama', 'Romance']",8.4,4644,4.4319
24,City Of God,Cidade de Deus,"In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket is a budding photographer who documents the increasing drug-related violence of his neighborhood, while José “Zé” Pequeno is an ambitious drug dealer diving into a dangerous life of crime.",47,2002-08-30,2002,Portuguese,"['Drama', 'Crime']",8.428,7854,8.0948
25,The Lord Of The Rings: The Fellowship Of The Ring,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",63,2001-12-18,2001,English,"['Adventure', 'Fantasy', 'Action']",8.4,26548,55.8971
26,Psycho,Psycho,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",40,1960-06-22,1960,English,"['Horror', 'Thriller', 'Mystery']",8.422,10594,10.3187
27,A Dog'S Will,O Auto da Compadecida,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small town in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",50,2000-09-15,2000,Portuguese,"['Comedy', 'Drama', 'Fantasy', 'Romance']",8.421,1190,1.3862
28,One Flew Over The Cuckoo'S Nest,One Flew Over the Cuckoo's Nest,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",38,1975-11-19,1975,English,['Drama'],8.4,11017,10.0412
29,The Lord Of The Rings: The Two Towers,The Lord of the Rings: The Two Towers,"Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",90,2002-12-18,2002,English,"['Adventure', 'Fantasy', 'Action']",8.4,23055,14.7145
30,Gabriel'S Inferno,Gabriel's Inferno,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",38,2020-05-29,2020,English,"['Romance', 'Drama']",8.402,2436,2.7274
31,Once Upon A Time In America,Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",31,1984-05-23,1984,English,"['Drama', 'Crime']",8.4,5776,5.9657
32,Hope,소원,"After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.",24,2013-10-02,2013,Korean,['Drama'],8.399,806,4.372
33,Spider-Man: Into The Spider-Verse,Spider-Man: Into the Spider-Verse,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",69,2018-12-06,2018,English,"['Animation', 'Action', 'Adventure', 'Science Fiction']",8.396,16573,13.1812
34,Howl'S Moving Castle,ハウルの動く城,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",38,2004-09-09,2004,Japanese,"['Fantasy', 'Animation', 'Adventure']",8.394,10598,12.5781
35,The Empire Strikes Back,The Empire Strikes Back,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",60,1980-05-20,1980,English,"['Adventure', 'Action', 'Science Fiction']",8.394,17796,5.5361
36,A Silent Voice: The Movie,映画 聲の形,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",80,2016-09-17,2016,Japanese,"['Animation', 'Drama', 'Romance']",8.386,4257,9.3485
37,The Pianist,The Pianist,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",63,2002-09-17,2002,English,"['Drama', 'War']",8.38,9750,6.9006
38,Se7En,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",69,1995-09-22,1995,English,"['Crime', 'Mystery', 'Thriller']",8.377,22254,15.1285
39,Whiplash,Whiplash,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",21,2014-10-10,2014,English,"['Drama', 'Music']",8.4,16023,11.3697
40,Inception,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",44,2010-07-15,2010,English,"['Action', 'Science Fiction', 'Adventure']",8.4,38166,21.6419
41,Gabriel'S Inferno: Part Ii,Gabriel's Inferno: Part II,"Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?",52,2020-07-31,2020,English,"['Romance', 'Drama']",8.368,1533,0.8024
42,Lucy Shimmers And The Prince Of Peace,Lucy Shimmers and the Prince of Peace,Second chances start when a hardened criminal crosses paths with a precocious little girl who is helped by an angel to change hearts during the holiday season.,27,2020-10-19,2020,English,"['Drama', 'Family']",8.4,326,4.0625
43,Radical,Radical,"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries an unorthodox new method to break through his students’ apathy and unlock their curiosity, their potential... and perhaps even their genius.",36,2023-10-19,2023,Spanish,['Drama'],8.361,481,3.7018
44,Gabriel'S Inferno: Part Iii,Gabriel's Inferno: Part III,The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.,26,2020-11-19,2020,English,"['Romance', 'Drama']",8.359,1069,3.8736
45,High And Low,天国と地獄,A Yokohama shoe executive faces a wrenching choice when kidnappers mistakenly seize his chauffeur’s son but demand the ransom anyway.,20,1963-03-01,1963,Japanese,"['Drama', 'Crime', 'Thriller']",8.4,1046,6.4172
46,Rear Window,Rear Window,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,20,1954-08-01,1954,English,"['Thriller', 'Mystery']",8.3,6876,4.9834
47,The Silence Of The Lambs,The Silence of the Lambs,"Clarice Starling is a top student at the FBI's training academy. Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism. Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",67,1991-02-14,1991,English,"['Crime', 'Thriller', 'Drama']",8.3,17239,3.1348
48,Spider-Man: Across The Spider-Verse,Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",65,2023-05-31,2023,English,"['Animation', 'Action', 'Adventure', 'Science Fiction']",8.337,8006,16.7625
49,The Legend Of Hei,罗小黑战记,"When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans.",95,2019-08-27,2019,Chinese,"['Animation', 'Fantasy', 'Action']",8.333,414,9.7423
50,American History X,American History X,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",83,1998-07-01,1998,English,['Drama'],8.331,12133,7.3867
51,Princess Mononoke,もののけ姫,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",60,1997-07-12,1997,Japanese,"['Adventure', 'Fantasy', 'Animation']",8.326,8581,10.2525
52,Back To The Future,Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",52,1985-07-03,1985,English,"['Adventure', 'Comedy', 'Science Fiction']",8.3,21034,22.5813
53,The Wild Robot,The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",32,2024-09-12,2024,English,"['Animation', 'Science Fiction', 'Family', 'Drama']",8.32,5468,17.9808
54,A Brighter Summer Day,牯嶺街少年殺人事件,"A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.",13,1991-07-27,1991,Chinese,"['Crime', 'Drama', 'Romance']",8.316,362,5.2706
55,The Quintessential Quintuplets Movie,映画 五等分の花嫁,"When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?",69,2022-05-20,2022,Japanese,"['Animation', 'Comedy', 'Romance']",8.315,424,5.3655
56,Dou Kyu Sei – Classmates,同級生,"Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.",73,2016-02-20,2016,Japanese,"['Romance', 'Animation']",8.309,418,5.0892
57,Ikiru,生きる,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",31,1952-10-09,1952,Japanese,['Drama'],8.3,1252,6.5079
58,The Forge,The Forge,"19 year old Isaiah Wright lives for basketball and video games. A year out of high school, he has no job, no plans, and no idea how to be a man. At odds with his single mother Cynthia, Isaiah is given an ultimatum – to step up or move out. Feeling the pull from his friends and the push from his mom, Isaiah is hired by Moore Fitness, unaware of how the owner will personally impact his life. With the prayers of his mother and unexpected guidance from his new mentor, Isaiah is forced to deal with his past, sacrifice his selfishness and discover how God might have a greater purpose for his life.",114,2024-08-22,2024,English,"['Drama', 'Family']",8.306,302,2.8878
59,Perfect Blue,PERFECT BLUE,"Rising pop star Mima quits singing to pursue a career as an actress. After she takes up a role on a popular detective show, her handlers and collaborators begin turning up murdered. Harboring feelings of guilt and haunted by visions of her former self, Mima's reality and fantasy meld into a frenzied paranoia.",53,1998-02-28,1998,Japanese,"['Animation', 'Thriller']",8.304,2965,8.0576
60,Dead Poets Society,Dead Poets Society,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",34,1989-06-02,1989,English,['Drama'],8.301,12009,10.4945
61,Léon: The Professional,Léon,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",51,1994-09-14,1994,French,"['Crime', 'Drama', 'Action']",8.299,15540,12.2562
62,"Josee, The Tiger And The Fish",ジョゼと虎と魚たち,"With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.",46,2020-12-25,2020,Japanese,"['Animation', 'Drama', 'Romance']",8.295,547,36.7608
63,Counterattack,Contraataque,"When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group.",23,2025-02-27,2025,Spanish,"['Action', 'Adventure', 'Thriller']",8.282,758,10.7229
64,The Great Dictator,The Great Dictator,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,20,1940-10-15,1940,English,"['Comedy', 'War']",8.3,3550,2.3084
65,Sunset Boulevard,Sunset Boulevard,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,18,1950-08-10,1950,English,['Drama'],8.29,2784,5.3193
66,Violet Evergarden: The Movie,劇場版 ヴァイオレット・エヴァーガーデン,"As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.",26,2020-09-18,2020,Japanese,"['Animation', 'Fantasy', 'Romance', 'Drama']",8.3,464,4.6069
67,Once Upon A Studio,Once Upon a Studio,"Created for Disney's 100th anniversary, the short features Mickey Mouse corralling a gallery of legendary Disney characters for a group photo.",21,2023-09-24,2023,English,"['Animation', 'Family', 'Fantasy', 'Comedy']",8.286,405,3.2989
68,Dedicated To My Ex,Dedicada A Mi Ex,"The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.",101,2019-11-01,2019,Spanish,"['Drama', 'Comedy']",8.3,512,1.3935
69,We All Loved Each Other So Much,C'eravamo tanto amati,"Three partisans bound by a strong friendship return home after the war, but the clash with everyday reality puts a strain on their bond.",24,1974-12-21,1974,Italian,"['Drama', 'Comedy']",8.282,623,1.6735
70,Modern Times,Modern Times,"A bumbling tramp desires to build a home with a young woman, yet is thwarted time and time again by his lack of experience and habit of being in the wrong place at the wrong time..",36,1936-02-05,1936,English,"['Comedy', 'Drama', 'Romance']",8.3,3911,5.4674
71,Once Upon A Time In The West,C'era una volta il West,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",32,1968-12-21,1968,Italian,"['Drama', 'Western']",8.3,4661,6.7312
72,It'S A Wonderful Life,It's a Wonderful Life,"A holiday favourite for generations... George Bailey has spent his entire life giving to the people of Bedford Falls. All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company. But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",52,1946-12-20,1946,English,"['Drama', 'Family', 'Fantasy']",8.275,4633,37.8168
73,Hotarubi No Mori E,蛍火の杜へ,"One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...",43,2011-09-17,2011,Japanese,"['Romance', 'Animation', 'Fantasy']",8.272,1174,0.0062
74,The Intouchables,Intouchables,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,29,2011-11-02,2011,French,"['Drama', 'Comedy']",8.272,17929,9.7204
75,Neon Genesis Evangelion: The End Of Evangelion,新世紀エヴァンゲリオン劇場版 Air／まごころを、君に,"SEELE orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can advance his own plans for the Human Instrumentality Project. Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity.",43,1997-07-19,1997,Japanese,"['Animation', 'Science Fiction', 'Action', 'Drama']",8.271,1741,15.747
76,Apocalypse Now,Apocalypse Now,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",57,1979-05-19,1979,English,"['Drama', 'War']",8.3,8715,6.5058
77,Given,映画 ギヴン,"Haruki secretly had feelings for Akihiko for years, but Akihiko was still in a relationship with his roommate, the violinist Ugetsu Murata. Haruki, Akihiko, and Ugetsu's love clashes and starts to move forward.",33,2020-08-22,2020,Japanese,"['Animation', 'Drama', 'Music', 'Romance']",8.268,408,4.5927
78,City Lights,City Lights,A tramp falls in love with a beautiful blind flower girl. His on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.,27,1931-02-06,1931,English,"['Comedy', 'Drama', 'Romance']",8.264,2341,5.2291
79,Paths Of Glory,Paths of Glory,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,20,1957-10-25,1957,English,"['War', 'Drama']",8.3,3119,3.4335
80,The Lion King,The Lion King,"Young lion prince Simba, eager to one day become king of the Pride Lands, grows up under the watchful eye of his father Mufasa; all the while his villainous uncle Scar conspires to take the throne for himself. Amid betrayal and tragedy, Simba must confront his past and find his rightful place in the Circle of Life.",57,1994-06-15,1994,English,"['Family', 'Animation', 'Drama', 'Adventure']",8.3,19125,13.1152
81,Miracle In Cell No. 7,7. Koğuştaki Mucize,"Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.",25,2019-10-10,2019,Turkish,['Drama'],8.255,4497,4.1728
82,Le Trou,Le Trou,"Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system -- yet their escape is anything but assured.",72,1960-03-18,1960,French,"['Drama', 'Thriller', 'Crime']",8.253,528,4.1614
83,Clouds,Clouds,"Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",38,2020-10-09,2020,English,"['Music', 'Drama', 'Romance']",8.2,1034,3.2438
84,Taylor Swift: Reputation Stadium Tour,Taylor Swift: Reputation Stadium Tour,"Taylor Swift takes the stage in Dallas for the Reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic.",23,2018-12-31,2018,English,['Music'],8.25,412,3.2551
85,The Legend Of 1900,La leggenda del pianista sull'oceano,"The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.",70,1998-10-28,1998,Italian,"['Drama', 'Music']",8.2,2358,3.7618
86,Oldboy,올드보이,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate man seeks revenge on his captors.",23,2003-11-21,2003,Korean,"['Drama', 'Thriller', 'Mystery', 'Action']",8.2,9324,11.6608
