,title,original_title,overview,overview_word_count,release_date,release_year,original_language,genres,vote_average,vote_count,popularity
2430,The Sword In The Stone,The Sword in the Stone,"Wart is a young boy who aspires to be a knight's squire. On a hunting trip he falls in on Merlin, a powerful but amnesiac wizard who has plans for him beyond mere squiredom. He starts by trying to give him an education, believing that once one has an education, one can go anywhere. Needless to say, it doesn't quite work out that way.",64,1963-12-25,1963,English,"['Animation', 'Family', 'Fantasy']",7.223,3989,5.3845
2431,The Old Oak,The Old Oak,"A pub landlord in a previously thriving mining community struggles to hold onto his pub. Meanwhile, tensions rise in the town when Syrian refugees are placed in the empty houses in the community.",33,2023-09-29,2023,English,['Drama'],7.2,369,2.4791
2432,Violent Cop,その男、凶暴につき,A detective breaks all rules of ethical conduct while investigating a colleague’s involvement in drug pushing and Yakuza activities.,19,1989-08-12,1989,Japanese,"['Crime', 'Thriller', 'Drama']",7.222,394,5.2508
2433,Mean Girls,Mean Girls,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",33,2004-04-30,2004,English,"['Drama', 'Comedy']",7.222,9193,10.6035
2434,Man Bites Dog,C'est arrivé près de chez vous,"The activities of rampaging, indiscriminate serial killer Ben are recorded by a willingly complicit documentary team, who eventually become his accomplices and active participants. Ben provides casual commentary on the nature of his work and arbitrary musings on topics of interest to him, such as music or the conditions of low-income housing, and even goes so far as to introduce the documentary crew to his family. But their reckless indulgences soon get the better of them.",76,1992-08-20,1992,French,"['Comedy', 'Crime']",7.222,974,2.4949
2435,Last Holiday,Last Holiday,"The discovery that she has a terminal illness prompts introverted department store saleswoman Georgia Byrd to reflect on what she realizes has been an overly cautious life. With weeks to live, she withdraws her life savings, sells all her possessions and jets off to Europe where she lives it up at a posh hotel. Upbeat and passionate, Georgia charms everybody she meets, including renowned Chef Didier. The only one missing from her new life is her longtime crush Sean Matthews.",80,2006-01-13,2006,English,"['Adventure', 'Comedy', 'Drama']",7.2,820,4.4572
2436,The Muppet Movie,The Muppet Movie,"The Muppets gather to watch their newly-finished big-budget rich-and-famous feature film: a talent agent persuades Kermit the Frog to leave the swamp to pursue a career in Hollywood. On his way there, he meets a bear, a pig, a whatever (his future muppet crew), and some special celebrity guest stars, while being chased by the desperate owner of a frog-leg restaurant!",61,1979-06-22,1979,English,"['Family', 'Comedy', 'Adventure', 'Music']",7.221,668,2.511
2437,The Last Temptation Of Christ,The Last Temptation of Christ,"Jesus, a humble Judean carpenter beginning to see that he is the son of God, is drawn into revolutionary action against the Roman occupiers by Judas -- despite his protestations that love, not violence, is the path to salvation. The burden of being the savior of mankind torments Jesus throughout his life, leading him to doubt.",56,1988-05-28,1988,English,['Drama'],7.2,1138,1.9966
2438,A Bridge Too Far,A Bridge Too Far,The story of Operation Market Garden—a failed attempt by the allies in the latter stages of WWII to end the war quickly by securing three bridges in Holland allowing access over the Rhine into Germany. A combination of poor allied intelligence and the presence of two crack German panzer divisions meant that the final part of this operation (the bridge in Arnhem over the Rhine) was doomed to failure.,69,1977-06-15,1977,English,"['Drama', 'History', 'War']",7.2,882,4.2957
2439,Downton Abbey: A New Era,Downton Abbey: A New Era,"The Crawley family goes on a grand journey to the south of France to uncover the mystery of the dowager countess's newly inherited villa. Meanwhile, a Hollywood director seeks to film his latest production at Downton.",36,2022-04-27,2022,English,"['Drama', 'Romance']",7.2,561,5.1627
